Label,TagSet,AssetType,Asset,AssetParent,isFedBy,City,Building,Wing,Floor,Room,Zone,AssetType2,Asset2
B20T_1F_SRVC_WTRMTR_MENWC,Power_Meter,Power,B20T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,MenWC,,Plug_Load,42-1F-GS-WTRMTR_MENWC
B23S_GF_SRVC_CLEAN_Z5_NEXTFRONT,Power_Meter,Power,B23S,42-GF-GS,,Dublin,B3,SOR42,GroundFloor,Clean,,Plug_Load,42-GF-GS-CLEAN_Z5_NEXTFRONT
B23T_GF_SRVC_CLEAN_Z3_NEXTCOFFDK,Power_Meter,Power,B23T,42-GF-GS,,Dublin,B3,SOR42,GroundFloor,Clean,,Plug_Load,42-GF-GS-CLEAN_Z3_NEXTCOFFDK
B24R_GF_SRVC_CLEAN_Z4,Power_Meter,Power,B24R,42-GF-GS,,Dublin,B3,SOR42,GroundFloor,Clean,,Plug_Load,42-GF-GS-CLEAN_Z4
B24S_GF_SRVC_CLEAN_Z2_NEXTDB,Power_Meter,Power,B24S,42-GF-GS,,Dublin,B3,SOR42,GroundFloor,Clean,,Plug_Load,42-GF-GS-CLEAN_Z2_NEXTDB
B24T_GF_SRVC_CLEAN_Z6,Power_Meter,Power,B24T,42-GF-GS,,Dublin,B3,SOR42,GroundFloor,Clean,,Plug_Load,42-GF-GS-CLEAN_Z6
B2R_1F_FCU12_15_16_17_18,Power_Meter,Power,B2R,42-1F-FCU,,Dublin,B3,SOR42,FirstFloor,,,FCU,"42-FCU12,42-FCU15,42-FCU16,42-FCU17,42-FCU18"
B2R_1F_LGHT_F13F14F19TOF22F27F28,Power_Meter,Power,B2R,42-1F-L,,Dublin,B3,SOR42,FirstFloor,,,Lighting_System,42-1F-L-F13F14F19TOF22F27F28
B2R_1F_SRVC_D19D22D27,Power_Meter,Power,B2R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-D19D22D27
B2R_GF_SRVC_I11TOI14I19TOI22,Power_Meter,Power,B2R,42-GF-GS,,Dublin,B3,SOR42,GroundFloor,,,Plug_Load,42-GF-GS-I11TOI14I19TOI22
B2S_1F_FCU10_11_13_23_Collab,Power_Meter,Power,B2S,42-1F-FCU,,Dublin,B3,SOR42,FirstFloor,CollaborationSpace,,FCU,"42-FCU10,42-FCU11,42-FCU13,42-FCU23"
B2S_1F_LGHT_F3TOF6F11F12_QR37_38,Power_Meter,Power,B2S,42-1F-L,,Dublin,B3,SOR42,FirstFloor,QR37,,Lighting_System,42-1F-L-F3TOF6F11F12_QR37_38
B2S_1F_SRVC_D2D7D10D15,Power_Meter,Power,B2S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-D2D7D10D15
B2T_1F_LGHT_MIDAISLE_Z9,Power_Meter,Power,B2T,42-1F-L,,Dublin,B3,SOR42,FirstFloor,MiddleAisle,,Lighting_System,42-1F-L-MIDAISLE_Z9
B2T_1F_SRVC_D1D8D9D16,Power_Meter,Power,B2T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-D1D8D9D16
B3R_1F_LGHT_F15TOF18F23TOF26,Power_Meter,Power,B3R,42-1F-L,,Dublin,B3,SOR42,FirstFloor,,,Lighting_System,42-1F-L-F15TOF18F23TOF26
B3R_1F_SRVC_D18D23D26,Power_Meter,Power,B3R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-D18D23D26
B3S_1F_LGHT_F1F2F7TOF10_QR35_36,Power_Meter,Power,B3S,42-1F-L,,Dublin,B3,SOR42,FirstFloor,QR35,,Lighting_System,42-1F-L-F1F2F7TOF10_QR35_36
B3S_1F_SRVC_D17D24D25,Power_Meter,Power,B3S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-D17D24D25
B3T_1F_LGHT_MR_3F043_044,Power_Meter,Power,B3T,42-1F-L,,Dublin,B3,SOR42,FirstFloor,MeetingRoom,,Lighting_System,42-1F-L-MR_3F043_044
B3T_1F_SRVC_E2E3E6E7,Power_Meter,Power,B3T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-E2E3E6E7
B4R_1F_LGHT_TOPAISLE_Z8,Power_Meter,Power,B4R,42-1F-L,,Dublin,B3,SOR42,FirstFloor,TopAisle,,Lighting_System,42-1F-L-TOPAISLE_Z8
B4R_1F_SRVC_E1E4E5E8,Power_Meter,Power,B4R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-E1E4E5E8
B4S_1F_LGHT_COLLAB_3F034,Power_Meter,Power,B4S,42-1F-L,,Dublin,B3,SOR42,FirstFloor,CollaborationSpace,,Lighting_System,42-1F-L-COLLAB_3F034
B4S_1F_SRVC_F4F5F12F13,Power_Meter,Power,B4S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-F4F5F12F13
B4T_1F_LGHT_COLLAB_3F033,Power_Meter,Power,B4T,42-1F-L,,Dublin,B3,SOR42,FirstFloor,CollaborationSpace,,Lighting_System,42-1F-L-COLLAB_3F033
B4T_1F_SRVC_F3F6F11F14,Power_Meter,Power,B4T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-F3F6F11F14
B5R_1F_LGHT_MIDAISLE_Z8,Power_Meter,Power,B5R,42-1F-L,,Dublin,B3,SOR42,FirstFloor,MiddleAisle,,Lighting_System,42-1F-L-MIDAISLE_Z8
B5R_1F_SRVC_F20F21F28_QR037_038,Power_Meter,Power,B5R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,QR037,,Plug_Load,42-1F-GS-F20F21F28_QR037_038
B5S_1F_LGHT_E1TOE8,Power_Meter,Power,B5S,42-1F-L,,Dublin,B3,SOR42,FirstFloor,,,Lighting_System,42-1F-L-E1TOE8
B5S_1F_SRVC_F19F22F27,Power_Meter,Power,B5S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-F19F22F27
B5T_1F_LGHT_FRONTAISLE_Z9,Power_Meter,Power,B5T,42-1F-L,,Dublin,B3,SOR42,FirstFloor,FrontAisle,,Lighting_System,42-1F-L-FRONTAISLE_Z9
B5T_1F_SRVC_F2F7F10F15,Power_Meter,Power,B5T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-F2F7F10F15
B6R_1F_LGHT_FRONTAISLE_Z7,Power_Meter,Power,B6R,42-1F-L,,Dublin,B3,SOR42,FirstFloor,FrontAisle,,Lighting_System,42-1F-L-FRONTAISLE_Z7
B6R_1F_SRVC_F1F8F9F16,Power_Meter,Power,B6R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-F1F8F9F16
B6S_1F_LGHT_D21D22D27D28_QR29_30,Power_Meter,Power,B6S,42-1F-L,,Dublin,B3,SOR42,FirstFloor,QR29,,Lighting_System,42-1F-L-D21D22D27D28_QR29_30
B6S_1F_SRVC_F18F23F26,Power_Meter,Power,B6S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-F18F23F26
B6T_1F_LGHT_D3TOD6D11TOD14,Power_Meter,Power,B6T,42-1F-L,,Dublin,B3,SOR42,FirstFloor,,,Lighting_System,42-1F-L-D3TOD6D11TOD14
